Series Name,Series Code,Country Name,Country Code,2002 [YR2002],2010 [YR2010],2018 [YR2018]
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Afghanistan,AFG,56.784,61.028,64.486
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Albania,ALB,74.579,76.562,78.458
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Algeria,DZA,71.605,74.938,76.693
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,American Samoa,ASM,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Andorra,AND,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Angola,AGO,47.702,55.35,60.782
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Antigua and Barbuda,ATG,74.395,75.823,76.885
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Argentina,ARG,73.932,75.278,76.52
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Armenia,ARM,72.112,73.331,74.945
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Aruba,ABW,73.937,75.017,76.152
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Australia,AUS,79.93658537,81.69512195,82.74878049
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Austria,AUT,78.67804878,80.5804878,81.69268293
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Azerbaijan,AZE,67.391,70.938,72.864
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Bahamas, The",BHS,71.977,72.144,73.752
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bahrain,BHR,74.822,76.057,77.163
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bangladesh,BGD,66.43,69.881,72.32
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Barbados,BRB,77.534,78.364,79.081
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belarus,BLR,68.05609756,70.40487805,74.17560976
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belgium,BEL,78.07560976,80.18292683,81.59512195
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belize,BLZ,69.272,72.057,74.496
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Benin,BEN,56.025,59.318,61.47
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bermuda,BMU,78.08780488,79.28853659,81.65170732
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bhutan,BTN,62.728,68.384,71.46
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bolivia,BOL,63.64,68.007,71.239
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bosnia and Herzegovina,BIH,74.803,76.031,77.262
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Botswana,BWA,50.232,60.211,69.275
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Brazil,BRA,70.813,73.619,75.672
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,British Virgin Islands,VGB,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Brunei Darussalam,BRN,73.332,74.74,75.722
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bulgaria,BGR,71.86585366,73.51219512,74.96341463
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Burkina Faso,BFA,51.384,57.096,61.174
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Burundi,BDI,50.81,57.228,61.247
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cabo Verde,CPV,69.557,71.062,72.782
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cambodia,KHM,60.283,66.56,69.57
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cameroon,CMR,51.536,55.101,58.921
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Canada,CAN,79.4902439,81.24634146,82.04878049
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cayman Islands,CYM,..,82.1902439,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Central African Republic,CAF,44.063,47.312,52.805
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Chad,TCD,47.9,50.89,53.977
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Channel Islands,CHI,79.548,81.483,82.928
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Chile,CHL,76.894,78.779,80.042
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,China,CHN,72.061,74.409,76.704
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Colombia,COL,73.517,75.424,77.109
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Comoros,COM,59.617,61.862,64.118
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Congo, Dem. Rep.",COD,51.385,56.909,60.368
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Congo, Rep.",COG,53.091,60.093,64.29
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Costa Rica,CRI,77.74,78.769,80.095
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cote d'Ivoire,CIV,49.475,52.964,57.422
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Croatia,HRV,74.71731707,76.47560976,78.07073171
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cuba,CUB,77.105,78.338,78.726
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Curacao,CUW,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cyprus,CYP,78.264,79.43,80.828
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Czech Republic,CZE,75.22195122,77.42439024,79.02926829
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Denmark,DNK,76.89512195,79.1,80.95365854
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Djibouti,DJI,57.235,60.062,66.582
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Dominica,DMA,76.59756098,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Dominican Republic,DOM,69.957,72.046,73.892
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ecuador,ECU,73.371,75.089,76.8
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Egypt, Arab Rep.",EGY,68.961,70.349,71.825
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,El Salvador,SLV,69.432,71.21,73.096
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Equatorial Guinea,GNQ,53.84,55.622,58.402
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Eritrea,ERI,56.5,62.193,65.941
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Estonia,EST,70.90487805,75.42926829,78.24390244
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Eswatini,SWZ,44.41,46.601,59.401
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ethiopia,ETH,53.349,61.627,66.24
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Faroe Islands,FRO,78.83902439,80.63902439,82.49512195
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Fiji,FJI,66.022,66.655,67.341
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Finland,FIN,78.1195122,79.87073171,81.73414634
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,France,FRA,79.26097561,81.66341463,82.72439024
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,French Polynesia,PYF,73.017,75.611,77.462
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Gabon,GAB,57.791,61.4,66.187
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Gambia, The",GMB,56.761,59.637,61.735
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Georgia,GEO,70.22,71.46,73.6
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Germany,DEU,78.22926829,79.98780488,80.89268293
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ghana,GHA,57.425,61.03,63.78
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Gibraltar,GIB,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Greece,GRC,78.64146341,80.38780488,81.78780488
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Greenland,GRL,68.16268293,70.85707317,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Grenada,GRD,72.929,72.867,72.384
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guam,GUM,75.726,77.941,79.859
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guatemala,GTM,68.717,71.481,74.063
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guinea,GIN,51.484,56.861,61.185
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guinea-Bissau,GNB,51.123,54.628,58.003
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guyana,GUY,65.828,68.059,69.774
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Haiti,HTI,57.655,60.511,63.66
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Honduras,HND,71.249,73.317,75.088
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Hong Kong SAR, China",HKG,81.42682927,82.97804878,84.93414634
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Hungary,HUN,72.34878049,74.20731707,76.06585366
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Iceland,ISL,80.50243902,81.89756098,82.86097561
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,India,IND,63.304,66.693,69.416
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Indonesia,IDN,66.321,69.205,71.509
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Iran, Islamic Rep.",IRN,70.921,73.905,76.479
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Iraq,IRQ,68.827,68.567,70.454
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ireland,IRL,77.63414634,80.74390244,82.25609756
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Isle of Man,IMN,77.96585366,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Israel,ISR,79.45121951,81.60243902,82.80243902
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Italy,ITA,80.22926829,82.03658537,83.34634146
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Jamaica,JAM,74.14,74.038,74.368
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Japan,JPN,81.56341463,82.84268293,84.21097561
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Jordan,JOR,72.083,73.428,74.405
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kazakhstan,KAZ,65.95,68.45,73.15
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kenya,KEN,51.606,60.959,66.342
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kiribati,KIR,63.731,65.769,68.116
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Korea, Dem. People's Rep.",PRK,66.925,69.571,72.095
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Korea, Rep.",KOR,76.76585366,80.11707317,82.62682927
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kosovo,XKX,67.94390244,70.14390244,72.24390244
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kuwait,KWT,73.28,74.358,75.398
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kyrgyz Republic,KGZ,68.15609756,69.3,71.4
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lao PDR,LAO,59.937,64.306,67.61
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Latvia,LVA,70.96097561,73.48292683,74.78292683
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lebanon,LBN,75.488,78.36,78.875
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lesotho,LSO,44.898,45.1,53.705
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Liberia,LBR,52.826,59.6,63.73
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Libya,LBY,71.244,72.044,72.724
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Liechtenstein,LIE,79.63658537,81.84146341,83.04146341
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lithuania,LTU,71.76097561,73.26829268,75.6804878
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Luxembourg,LUX,77.96585366,80.63170732,82.29512195
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Macao SAR, China",MAC,80.87,82.704,84.118
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Madagascar,MDG,59.717,63.388,66.681
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Malawi,MWI,45.517,55.564,63.798
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Malaysia,MYS,72.976,74.493,75.997
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Maldives,MDV,71.708,75.905,78.627
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mali,MLI,49.54,55.251,58.893
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Malta,MLT,78.73902439,81.39756098,82.44878049
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Marshall Islands,MHL,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mauritania,MRT,60.892,62.527,64.704
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mauritius,MUS,71.96585366,72.96731707,74.41634146
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mexico,MEX,74.922,75.065,74.992
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Micronesia, Fed. Sts.",FSM,64.888,66.471,67.755
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Moldova,MDA,67.362,69.616,71.808
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Monaco,MCO,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mongolia,MNG,63.777,67.38,69.689
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Montenegro,MNE,73.285,75.151,76.77
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Morocco,MAR,69.769,74.382,76.453
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mozambique,MOZ,49.61,52.31,60.163
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Myanmar,MMR,60.685,63.525,66.867
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Namibia,NAM,50.862,56.665,63.373
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Nauru,NRU,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Nepal,NPL,63.57,67.611,70.478
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Netherlands,NLD,78.29268293,80.70243902,81.81219512
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,New Caledonia,NCL,75.10243902,77.2804878,77.43414634
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,New Zealand,NZL,78.84634146,80.70243902,81.85853659
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Nicaragua,NIC,70.308,72.428,74.275
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Niger,NER,51.256,57.333,62.024
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Nigeria,NGA,46.835,50.896,54.332
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,North Macedonia,MKD,73.642,74.662,75.688
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Northern Mariana Islands,MNP,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Norway,NOR,78.98780488,80.99756098,82.75853659
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Oman,OMN,73.022,75.682,77.633
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Pakistan,PAK,63.3,65.264,67.114
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Palau,PLW,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Panama,PAN,75.401,76.792,78.329
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Papua New Guinea,PNG,59.722,62.029,64.263
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Paraguay,PRY,71.023,72.653,74.131
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Peru,PER,71.882,74.41,76.516
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Philippines,PHL,68.88,69.823,71.095
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Poland,POL,74.49756098,76.24634146,77.60243902
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Portugal,PRT,77.06585366,79.02682927,81.32439024
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Puerto Rico,PRI,77.7604878,78.41909756,79.77819512
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Qatar,QAT,77.762,79.108,80.1
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Romania,ROU,71.0097561,73.45853659,75.35853659
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Russian Federation,RUS,65.12878049,68.84121951,72.66219512
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Rwanda,RWA,50.987,63.433,68.7
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Samoa,WSM,69.451,71.663,73.187
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,San Marino,SMR,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sao Tome and Principe,STP,62.687,67.43,70.17
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Saudi Arabia,SAU,72.92,73.917,74.998
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Senegal,SEN,58.675,64.284,67.665
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Serbia,SRB,72.28536585,74.33658537,75.8902439
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Seychelles,SYC,71.08780488,73.19756098,72.84146341
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sierra Leone,SLE,41.376,49.382,54.309
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Singapore,SGP,78.55121951,81.54146341,83.29756098
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sint Maarten (Dutch part),SXM,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Slovak Republic,SVK,73.60487805,75.11219512,77.26585366
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Slovenia,SVN,76.00731707,79.42195122,81.37804878
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Solomon Islands,SLB,68.175,70.674,72.835
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Somalia,SOM,51.492,53.99,57.068
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,South Africa,ZAF,54.31,57.669,63.857
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,South Sudan,SSD,50.05,54.8,57.604
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Spain,ESP,79.56829268,81.62682927,83.43170732
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sri Lanka,LKA,73.085,75.439,76.812
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,St. Kitts and Nevis,KNA,71.33658537,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,St. Lucia,LCA,73.648,74.852,76.057
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,St. Martin (French part),MAF,77.17317073,78.52195122,79.82195122
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,St. Vincent and the Grenadines,VCT,70.977,71.776,72.415
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sudan,SDN,59.258,62.764,65.095
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Suriname,SUR,68.064,70.465,71.57
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sweden,SWE,79.84634146,81.45121951,82.55853659
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Switzerland,CHE,80.38536585,82.24634146,83.75365854
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Syrian Arab Republic,SYR,73.663,72.108,71.779
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Tajikistan,TJK,63.653,68.736,70.879
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Tanzania,TZA,52.142,58.584,65.015
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Thailand,THA,71.089,74.184,76.931
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Timor-Leste,TLS,60.901,67.186,69.26
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Togo,TGO,53.71,57.468,60.76
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Tonga,TON,69.771,70.059,70.801
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Trinidad and Tobago,TTO,69.903,71.946,73.38
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Tunisia,TUN,73.638,75.041,76.505
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Turkey,TUR,71.078,74.507,77.437
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Turkmenistan,TKM,64.101,66.657,68.073
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Turks and Caicos Islands,TCA,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Tuvalu,TUV,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Uganda,UGA,48.299,57.099,62.973
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ukraine,UKR,68.27560976,70.26536585,71.58268293
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,United Arab Emirates,ARE,74.758,76.332,77.814
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,United Kingdom,GBR,78.14390244,80.40243902,81.25609756
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,United States,USA,76.93658537,78.54146341,78.63902439
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Uruguay,URY,75.152,76.75,77.77
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Uzbekistan,UZB,67.613,69.672,71.573
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Vanuatu,VUT,67.793,69.123,70.323
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Venezuela, RB",VEN,72.466,73.134,72.128
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Vietnam,VNM,73.438,74.837,75.317
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Virgin Islands (U.S.),VIR,77.52195122,77.86585366,79.5195122
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,West Bank and Gaza,PSE,71.447,72.788,73.895
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Yemen, Rep.",YEM,61.781,65.549,66.096
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Zambia,ZMB,45.4,55.655,63.51
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Zimbabwe,ZWE,43.523,50.64,61.195
,,,,,,
,,,,,,
,,,,,,
Data from database: Health Nutrition and Population Statistics,,,,,,
Last Updated: 12/17/2021,,,,,,